Country,City,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM_25_AQI_Value,PM_25_AQI_Category,lat,lng
7,154,73,1,2,1,66,2,0,1,73,1,37.7527,114.7775
7,155,98,1,3,1,33,1,9,1,98,1,22.5333,113.35
7,155,98,1,3,1,33,1,9,1,98,1,34.943,105.8771
7,156,156,3,4,1,45,1,10,1,156,3,29.7169,120.2314
22,157,163,3,4,1,8,1,18,1,163,3,19.2833,-99.7333
1,158,35,2,1,1,35,1,0,1,21,2,51.1667,82.2
3,159,69,1,1,1,37,1,4,1,69,1,45.4,8.9167
40,160,105,5,4,1,15,1,4,1,105,5,5.3167,-4.0333
5,161,64,1,2,1,37,1,8,1,64,1,34.0566,-84.6716
5,162,54,1,1,1,32,1,5,1,54,1,39.0017,-76.9649
5,163,80,1,1,1,18,1,10,1,80,1,33.2198,-86.8225
1,164,50,2,1,1,36,1,1,1,50,2,43.0333,44.2333
6,165,35,2,1,1,25,1,3,1,35,2,50.8761,5.3078
30,166,55,1,1,1,27,1,0,1,55,1,48.55,-71.65
30,166,55,1,1,1,27,1,0,1,55,1,43.3799,-84.6556
41,167,28,2,0,1,28,1,0,1,13,2,-10.3167,150.4333
42,168,26,2,0,1,26,1,0,1,20,2,-25.1764,46.0833
7,169,107,5,2,1,107,5,5,1,86,1,36.3619,119.1072
42,170,22,2,0,1,22,1,0,1,20,2,-14.8833,50.25
5,171,76,1,3,1,7,1,25,1,76,1,37.9787,-121.796
5,171,76,1,3,1,7,1,25,1,76,1,42.4742,-88.0721
43,172,104,5,2,1,14,1,1,1,104,5,5.2789,-0.7397
1,173,28,2,1,1,28,1,1,1,15,2,51.9333,43.5
1,174,28,2,1,1,28,1,1,1,19,2,56.1,49.8833
44,175,39,2,1,1,29,1,1,1,39,2,40.2975,44.3617
45,176,104,5,3,1,5,1,10,1,104,5,14.175,-89.7417
3,177,57,1,1,1,40,1,3,1,57,1,42.5833,13.9833
15,178,29,2,1,1,29,1,2,1,20,2,55.458,-4.629
15,178,29,2,1,1,29,1,2,1,20,2,-19.5744,147.4066
