Country,City,AQI_Value,AQI_Category,CO_AQI_Value,CO_AQI_Category,Ozone_AQI_Value,Ozone_AQI_Category,NO2_AQI_Value,NO2_AQI_Category,PM_25_AQI_Value,PM_25_AQI_Category
2,259,36,2,1,1,2,1,0,1,36,2
51,260,41,2,1,1,18,1,1,1,41,2
5,261,56,1,1,1,44,1,4,1,56,1
5,262,58,1,1,1,43,1,5,1,58,1
5,262,58,1,1,1,43,1,5,1,58,1
5,262,58,1,1,1,43,1,5,1,58,1
5,263,45,2,1,1,32,1,7,1,45,2
59,264,50,2,1,1,41,1,0,1,50,2
5,265,46,2,1,1,46,1,2,1,31,2
5,265,46,2,1,1,46,1,2,1,31,2
5,265,46,2,1,1,46,1,2,1,31,2
5,265,46,2,1,1,46,1,2,1,31,2
22,266,77,1,3,1,7,1,8,1,77,1
60,267,63,1,1,1,33,1,1,1,63,1
47,268,59,1,1,1,27,1,0,1,59,1
47,269,35,2,0,1,17,1,0,1,35,2
16,270,444,6,2,1,111,5,1,1,391,6
61,271,60,1,2,1,60,2,3,1,55,1
3,272,48,2,1,1,48,1,0,1,12,2
1,273,32,2,1,1,32,1,0,1,26,2
1,273,32,2,1,1,32,1,0,1,26,2
15,274,56,1,0,1,32,1,1,1,56,1
20,275,32,2,1,1,32,1,1,1,30,2
62,276,29,2,0,1,29,1,2,1,29,2
63,277,28,2,0,1,19,1,0,1,28,2
2,278,18,2,0,1,8,1,0,1,18,2
23,279,40,2,1,1,40,1,2,1,34,2
15,280,58,1,0,1,32,1,1,1,58,1
2,281,30,2,0,1,16,1,1,1,30,2
2,281,30,2,0,1,16,1,1,1,30,2
28,282,36,2,1,1,36,1,0,1,30,2
12,283,49,2,1,1,30,1,0,1,49,2
2,284,32,2,1,1,14,1,1,1,32,2
5,285,28,2,1,1,22,1,4,1,28,2
30,286,21,2,1,1,21,1,1,1,13,2
51,287,30,2,1,1,1,1,0,1,30,2
54,288,32,2,1,1,30,1,1,1,32,2
39,289,80,1,1,1,62,2,4,1,80,1
57,290,182,3,14,1,1,1,23,1,182,3
16,291,356,6,1,1,60,2,0,1,284,4
5,292,62,1,1,1,44,1,5,1,62,1
16,293,226,4,1,1,48,1,1,1,226,4
16,293,226,4,1,1,48,1,1,1,226,4
2,294,16,2,0,1,12,1,0,1,16,2
2,294,16,2,0,1,12,1,0,1,16,2
20,295,30,2,1,1,27,1,2,1,30,2
5,296,55,1,2,1,26,1,12,1,55,1
3,297,46,2,1,1,46,1,0,1,14,2
64,298,48,2,1,1,16,1,0,1,48,2
5,299,43,2,1,1,43,1,2,1,39,2
5,300,52,1,1,1,44,1,4,1,52,1
47,301,36,2,0,1,16,1,0,1,36,2
20,302,39,2,0,1,39,1,0,1,23,2
1,303,58,1,1,1,25,1,9,1,58,1
5,304,56,1,1,1,21,1,6,1,56,1
5,305,76,1,2,1,15,1,17,1,76,1
5,305,76,1,2,1,15,1,17,1,76,1
5,305,76,1,2,1,15,1,17,1,76,1
5,305,76,1,2,1,15,1,17,1,76,1
5,305,76,1,2,1,15,1,17,1,76,1
5,305,76,1,2,1,15,1,17,1,76,1
5,305,76,1,2,1,15,1,17,1,76,1
5,305,76,1,2,1,15,1,17,1,76,1
5,305,76,1,2,1,15,1,17,1,76,1
5,305,76,1,2,1,15,1,17,1,76,1
51,306,25,2,1,1,3,1,0,1,25,2
9,307,40,2,1,1,30,1,1,1,40,2
3,308,47,2,1,1,47,1,2,1,27,2
9,309,42,2,1,1,31,1,1,1,42,2
18,310,50,2,1,1,23,1,0,1,50,2
5,311,62,1,1,1,18,1,13,1,62,1
2,312,25,2,0,1,9,1,1,1,25,2
1,313,34,2,1,1,34,1,0,1,10,2
28,314,46,2,1,1,29,1,0,1,46,2
65,315,39,2,1,1,39,1,0,1,12,2
66,316,101,5,3,1,18,1,2,1,101,5
5,317,60,1,1,1,22,1,3,1,60,1
5,318,93,1,1,1,24,1,5,1,93,1
5,319,28,2,1,1,28,1,8,1,25,2
5,320,39,2,1,1,22,1,1,1,39,2
5,321,44,2,1,1,27,1,10,1,44,2
23,322,42,2,1,1,42,1,0,1,12,2
3,323,62,1,1,1,32,1,4,1,62,1
15,324,35,2,1,1,22,1,6,1,35,2
15,325,27,2,1,1,25,1,3,1,27,2
67,326,19,2,0,1,18,1,0,1,19,2
16,327,175,3,1,1,51,2,1,1,175,3
54,328,33,2,1,1,33,1,1,1,28,2
2,329,37,2,1,1,3,1,3,1,37,2
8,330,30,2,0,1,30,1,2,1,27,2
5,331,61,1,1,1,10,1,16,1,61,1
68,332,68,1,1,1,39,1,1,1,68,1
5,333,57,1,2,1,21,1,11,1,57,1
5,334,29,2,1,1,29,1,2,1,27,2
69,335,30,2,1,1,30,1,3,1,25,2
22,336,35,2,1,1,22,1,1,1,35,2
20,337,37,2,1,1,21,1,4,1,37,2
33,338,76,1,3,1,8,1,1,1,76,1
7,339,90,1,3,1,46,1,3,1,90,1
9,340,34,2,1,1,26,1,9,1,34,2
5,341,65,1,1,1,30,1,1,1,65,1
9,342,29,2,0,1,28,1,2,1,29,2
5,343,37,2,1,1,27,1,8,1,37,2
5,344,72,1,1,1,29,1,3,1,72,1
2,345,169,3,7,1,0,1,21,1,169,3
20,346,36,2,1,1,25,1,3,1,36,2
5,347,46,2,1,1,37,1,2,1,46,2
20,348,29,2,0,1,29,1,2,1,26,2
39,349,77,1,1,1,43,1,6,1,77,1
3,350,53,1,1,1,38,1,2,1,53,1
8,351,30,2,0,1,25,1,3,1,30,2
20,352,31,2,0,1,30,1,1,1,31,2
70,353,27,2,0,1,19,1,0,1,27,2
70,353,27,2,0,1,19,1,0,1,27,2
70,353,27,2,0,1,19,1,0,1,27,2
70,353,27,2,0,1,19,1,0,1,27,2
70,353,27,2,0,1,19,1,0,1,27,2
70,353,27,2,0,1,19,1,0,1,27,2
20,354,30,2,0,1,28,1,2,1,30,2
5,355,25,2,0,1,24,1,2,1,25,2
5,356,57,1,2,1,22,1,14,1,57,1
5,356,57,1,2,1,22,1,14,1,57,1
5,356,57,1,2,1,22,1,14,1,57,1
47,357,66,1,1,1,28,1,1,1,66,1
8,358,33,2,0,1,33,1,1,1,26,2
15,359,37,2,1,1,12,1,13,1,37,2
18,360,50,2,1,1,20,1,0,1,50,2
9,361,46,2,1,1,26,1,2,1,46,2
62,362,49,2,1,1,24,1,2,1,49,2
6,363,31,2,0,1,31,1,2,1,31,2
6,364,34,2,0,1,29,1,3,1,34,2
71,365,176,3,2,1,21,1,3,1,176,3
4,366,35,2,1,1,20,1,3,1,35,2
4,367,32,2,1,1,32,1,1,1,28,2
18,368,32,2,1,1,29,1,0,1,32,2
18,368,32,2,1,1,29,1,0,1,32,2
18,368,32,2,1,1,29,1,0,1,32,2
18,368,32,2,1,1,29,1,0,1,32,2
72,369,117,5,4,1,14,1,7,1,117,5
5,370,56,1,1,1,25,1,2,1,56,1
16,371,171,3,1,1,36,1,0,1,171,3
5,372,53,1,1,1,18,1,14,1,53,1
5,372,53,1,1,1,18,1,14,1,53,1
9,373,40,2,1,1,26,1,3,1,40,2
66,374,34,2,1,1,18,1,1,1,34,2
3,375,69,1,1,1,22,1,6,1,69,1
29,376,74,1,2,1,23,1,1,1,74,1
73,377,118,5,1,1,17,1,4,1,118,5
20,378,30,2,0,1,30,1,1,1,25,2
9,379,35,2,0,1,28,1,2,1,35,2
20,380,34,2,0,1,28,1,2,1,34,2
20,380,34,2,0,1,28,1,2,1,34,2
5,381,73,1,2,1,35,1,8,1,73,1
74,382,40,2,1,1,40,1,1,1,24,2
46,383,500,6,1,1,43,1,0,1,443,6
20,384,28,2,0,1,27,1,2,1,28,2
5,385,52,1,1,1,27,1,12,1,52,1
5,386,70,1,2,1,20,1,20,1,70,1
13,387,33,2,0,1,33,1,0,1,5,2
23,388,59,1,1,1,59,2,1,1,23,2
20,389,30,2,0,1,30,1,1,1,24,2
7,390,169,3,4,1,169,3,3,1,150,3
5,391,61,1,1,1,27,1,11,1,61,1
5,391,61,1,1,1,27,1,11,1,61,1
75,392,58,1,0,1,21,1,0,1,58,1
76,393,18,2,0,1,18,1,0,1,6,2
77,394,20,2,0,1,20,1,0,1,20,2
44,395,31,2,0,1,31,1,0,1,30,2
7,396,138,5,3,1,138,5,2,1,112,5
51,397,39,2,1,1,19,1,1,1,39,2
78,398,44,2,0,1,17,1,0,1,44,2
23,399,74,1,1,1,74,2,1,1,35,2
16,400,95,1,0,1,22,1,0,1,95,1
1,401,40,2,1,1,30,1,8,1,40,2
65,402,75,1,1,1,37,1,1,1,75,1
28,403,64,1,1,1,41,1,0,1,64,1
5,404,40,2,0,1,21,1,1,1,40,2
79,405,59,1,1,1,30,1,3,1,59,1
80,406,48,2,1,1,48,1,0,1,35,2
41,407,104,5,0,1,22,1,0,1,104,5
1,408,30,2,1,1,30,1,0,1,10,2
1,408,30,2,1,1,30,1,0,1,10,2
1,409,39,2,1,1,39,1,0,1,20,2
81,410,59,1,2,1,6,1,0,1,59,1
1,411,29,2,1,1,28,1,0,1,29,2
1,412,34,2,1,1,34,1,1,1,24,2
1,412,34,2,1,1,34,1,1,1,24,2
20,413,36,2,1,1,26,1,2,1,36,2
20,414,30,2,0,1,30,1,1,1,27,2
1,415,48,2,1,1,33,1,1,1,48,2
23,416,33,2,1,1,33,1,0,1,9,2
23,416,33,2,1,1,33,1,0,1,9,2
22,417,37,2,1,1,8,1,3,1,37,2
9,418,60,1,1,1,30,1,6,1,60,1
82,419,55,1,2,1,5,1,4,1,55,1
5,420,58,1,2,1,14,1,19,1,58,1
20,421,41,2,0,1,28,1,2,1,41,2
2,422,31,2,1,1,15,1,1,1,31,2
2,423,24,2,1,1,8,1,0,1,24,2
23,424,78,1,1,1,78,2,3,1,51,1
54,425,43,2,1,1,43,1,0,1,30,2
16,426,150,3,1,1,30,1,0,1,150,3
15,427,31,2,1,1,31,1,2,1,25,2
23,428,116,5,2,1,116,5,0,1,64,1
54,429,36,2,1,1,17,1,3,1,36,2
22,430,95,1,2,1,9,1,9,1,95,1
22,430,95,1,2,1,9,1,9,1,95,1
83,431,171,3,6,1,10,1,3,1,171,3
13,432,32,2,1,1,32,1,0,1,24,2
16,433,59,1,1,1,32,1,0,1,59,1
1,434,24,2,1,1,24,1,0,1,19,2
65,435,78,1,1,1,36,1,1,1,78,1
84,436,59,1,1,1,27,1,0,1,59,1
13,437,30,2,1,1,30,1,2,1,14,2
16,438,84,1,1,1,40,1,1,1,84,1
23,439,75,1,1,1,75,2,1,1,34,2
5,440,54,1,1,1,6,1,14,1,54,1
6,441,39,2,1,1,23,1,5,1,39,2
5,442,36,2,0,1,20,1,1,1,36,2
5,443,53,1,1,1,31,1,6,1,53,1
5,443,53,1,1,1,31,1,6,1,53,1
5,443,53,1,1,1,31,1,6,1,53,1
16,444,112,5,1,1,29,1,2,1,112,5
16,445,130,5,0,1,31,1,0,1,130,5
3,446,40,2,1,1,40,1,2,1,23,2
9,447,59,1,1,1,37,1,6,1,59,1
5,448,29,2,1,1,29,1,2,1,17,2
85,449,62,1,2,1,17,1,0,1,62,1
81,450,65,1,2,1,23,1,1,1,65,1
18,451,78,1,1,1,31,1,0,1,78,1
86,452,56,1,1,1,25,1,1,1,56,1
10,453,121,5,4,1,7,1,8,1,121,5
50,454,14,2,1,1,14,1,0,1,3,2
50,454,14,2,1,1,14,1,0,1,3,2
50,454,14,2,1,1,14,1,0,1,3,2
50,454,14,2,1,1,14,1,0,1,3,2
50,454,14,2,1,1,14,1,0,1,3,2
5,455,95,1,1,1,23,1,10,1,95,1
5,456,52,1,1,1,33,1,3,1,52,1
8,457,34,2,0,1,34,1,2,1,32,2
28,458,72,1,1,1,42,1,1,1,72,1
2,459,47,2,1,1,7,1,1,1,47,2
87,460,22,2,0,1,19,1,0,1,22,2
87,460,22,2,0,1,19,1,0,1,22,2
2,461,41,2,0,1,11,1,0,1,41,2
16,462,159,3,2,1,134,5,1,1,159,3
3,463,89,1,2,1,33,1,5,1,89,1
9,464,32,2,1,1,32,1,2,1,32,2
6,465,40,2,1,1,29,1,3,1,40,2
5,466,30,2,1,1,19,1,4,1,30,2
5,466,30,2,1,1,19,1,4,1,30,2
16,467,73,1,0,1,24,1,0,1,73,1
16,467,73,1,0,1,24,1,0,1,73,1
16,467,73,1,0,1,24,1,0,1,73,1
22,468,59,1,1,1,21,1,1,1,59,1
22,469,92,1,2,1,34,1,1,1,92,1
11,470,52,1,1,1,40,1,0,1,52,1
20,471,33,2,0,1,33,1,0,1,32,2
20,471,33,2,0,1,33,1,0,1,32,2
20,471,33,2,0,1,33,1,0,1,32,2
20,471,33,2,0,1,33,1,0,1,32,2
20,471,33,2,0,1,33,1,0,1,32,2
5,472,54,1,2,1,30,1,11,1,54,1
15,473,31,2,0,1,31,1,2,1,21,2
15,474,50,2,1,1,22,1,7,1,50,2
88,475,53,1,1,1,36,1,1,1,53,1
23,476,44,2,1,1,44,1,1,1,16,2
1,477,37,2,1,1,35,1,0,1,37,2
20,478,54,1,1,1,30,1,3,1,54,1
69,479,163,3,0,1,25,1,0,1,163,3
5,480,40,2,1,1,7,1,6,1,40,2
46,481,101,5,1,1,62,2,0,1,101,5
7,482,160,3,1,1,45,1,0,1,160,3
65,483,89,1,1,1,39,1,0,1,89,1
