brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ssd,hdd,os,os_bit,graphic_card_gb,Price,rating,Number of Ratings,Number of Reviews
4,0,2,3,3,2,2,1,1,1,148,3,10,0
4,0,2,3,2,2,2,1,1,1,149,3,69,6
2,0,2,3,2,2,2,1,1,1,146,3,6,0
5,0,2,3,3,2,2,1,1,1,135,3,93,9
0,0,2,3,3,2,2,1,1,1,10,3,11,2
0,0,2,3,3,2,2,1,1,4,150,3,262,31
5,0,2,3,2,2,2,1,1,2,151,2,0,0
5,0,2,3,3,2,2,1,1,1,152,3,5,1
0,0,2,1,2,2,2,1,1,2,38,3,45,3
6,0,2,3,2,2,2,1,1,1,77,2,8,1
4,0,2,3,2,2,2,1,1,1,153,4,3,1
0,0,2,6,2,2,2,1,1,3,62,3,1681,227
1,0,2,3,2,2,2,1,1,1,10,3,37,2
1,0,2,3,2,2,2,1,1,1,29,3,61,2
4,0,2,3,3,2,2,1,1,1,154,3,17,1
2,0,2,3,2,2,2,1,1,1,155,3,17,1
0,0,2,1,2,2,2,1,1,1,70,3,1625,152
4,0,2,3,2,2,2,1,2,1,156,3,4,1
5,0,2,1,3,2,2,1,1,3,157,2,0,0
0,0,2,1,2,2,2,1,1,3,139,2,0,0
4,0,2,3,2,2,2,1,1,1,139,3,17,1
0,0,2,3,3,2,2,1,1,1,10,2,0,0
1,0,2,3,2,2,2,1,1,1,123,2,0,0
4,0,2,3,2,2,2,1,1,1,139,3,3,0
5,0,2,3,3,2,2,1,1,2,158,2,0,0
5,0,2,3,3,2,2,1,1,1,159,2,0,0
0,0,2,3,2,2,2,1,1,1,160,2,0,0
1,0,2,3,2,2,2,1,1,1,145,3,48,12
1,0,2,1,2,2,2,1,1,3,161,3,282,36
5,0,2,3,3,2,2,1,1,2,162,2,0,0
1,0,2,3,3,2,2,1,1,2,163,3,67,4
0,0,2,3,3,2,2,1,1,1,164,2,0,0
1,0,2,1,2,2,2,1,1,2,165,2,0,0
5,0,2,3,2,2,2,1,1,2,157,3,23,2
6,0,2,1,2,2,2,1,1,1,166,3,677,87
0,0,2,3,3,2,2,1,1,1,10,2,3,0
1,0,2,3,3,2,2,1,1,1,145,3,46,4
5,0,2,3,2,2,2,1,1,1,167,2,4,1
1,0,2,3,2,2,2,1,1,1,62,3,9,1
1,0,2,3,2,2,2,1,1,1,10,3,26,4
0,0,2,3,2,2,2,1,2,4,168,4,5,0
4,0,2,3,2,2,2,1,1,1,169,3,40,3
1,0,2,3,2,2,2,1,1,3,10,2,44,6
1,0,2,3,2,2,2,1,1,1,170,3,28,6
4,0,2,3,2,2,2,1,1,1,136,3,1541,123
5,0,2,3,2,2,2,1,1,1,158,3,72,7
1,0,2,3,2,2,2,1,1,1,171,3,44,8
1,0,2,3,2,2,2,1,2,1,172,3,17,2
0,0,2,3,2,2,2,1,1,1,173,3,59,11
6,0,2,3,2,2,2,1,1,1,157,2,0,0
5,0,2,3,2,2,2,1,1,1,77,3,337,27
1,0,2,3,2,2,2,1,1,1,4,3,10,2
0,0,2,3,2,2,2,1,1,1,168,3,10,2
5,0,2,3,2,2,2,1,1,1,10,2,31,7
5,0,2,1,2,2,2,1,1,1,174,2,0,0
5,0,2,3,2,2,2,1,1,2,140,3,10,0
0,0,2,3,2,2,2,1,2,1,12,3,76,14
5,0,2,3,2,2,2,1,1,1,175,3,44,6
6,0,2,3,2,2,2,1,1,3,160,2,0,0
0,0,2,1,2,2,2,1,1,1,157,3,11,3
6,0,2,3,2,2,2,1,1,1,77,3,138,16
5,0,2,3,2,2,2,1,1,2,161,3,199,17
0,0,2,3,2,2,2,1,1,1,176,3,46,6
5,0,2,3,2,2,2,1,1,1,177,3,45,5
5,0,2,3,2,2,2,1,1,1,178,2,0,0
5,0,2,3,2,2,2,1,1,2,138,3,35,4
7,0,2,1,2,2,2,3,1,1,179,3,32,5
7,0,2,5,2,2,2,3,1,1,180,3,108,13
6,0,2,3,2,2,2,1,1,3,160,2,0,0
6,0,2,1,2,2,2,1,1,1,15,3,814,112
1,0,2,1,2,2,2,1,1,1,181,2,0,0
1,0,2,3,2,2,2,1,1,1,123,3,75,9
4,0,2,3,2,2,2,1,1,3,172,2,0,0
4,0,2,1,2,2,2,1,1,3,182,3,3,0
1,0,2,3,2,2,2,1,2,2,163,3,11,3
1,0,2,3,2,2,2,1,1,1,145,3,125,11
2,0,2,3,2,2,2,1,1,1,136,2,0,0
0,0,2,1,2,2,2,1,1,3,145,3,4,0
6,0,2,1,2,2,2,1,1,1,62,3,714,147
4,0,2,3,2,2,2,1,1,1,183,2,0,0
1,0,2,1,2,2,2,1,1,2,184,3,21,3
1,0,2,6,2,2,2,1,1,3,10,2,9,1
2,0,2,5,2,2,2,1,1,3,185,2,0,0
4,0,2,1,2,2,2,1,1,1,123,3,30,4
0,0,2,5,2,2,2,1,1,1,12,3,44,4
2,0,2,5,2,2,2,1,1,1,145,2,4,1
0,0,2,3,2,2,2,1,1,1,136,2,0,0
4,0,2,3,2,2,2,1,1,2,142,3,14,2
1,0,2,3,2,2,2,1,1,1,186,3,739,71
5,0,2,3,2,2,2,1,1,1,172,3,31,5
4,0,2,1,2,2,2,1,1,1,178,3,145,19
5,0,2,1,2,2,2,1,1,2,140,2,0,0
5,0,2,3,2,2,2,1,1,2,187,2,19,2
1,0,2,1,2,2,2,1,1,1,188,2,0,0
0,0,2,3,2,2,2,1,1,1,189,3,32,6
4,0,2,3,2,2,2,1,1,1,190,3,1124,100
0,0,2,3,2,2,2,1,1,1,191,3,35,6
1,0,2,3,2,2,2,1,1,1,135,3,9,0
5,0,2,3,2,2,2,1,1,1,192,3,98,6
1,0,2,3,2,2,2,1,1,1,140,3,31,2
0,0,2,5,2,2,2,1,1,1,193,3,19,3
6,0,2,3,2,2,2,1,1,1,123,2,0,0
0,0,2,3,2,2,2,1,1,1,194,3,11,0
1,0,2,1,2,2,2,1,2,2,195,3,45,3
5,0,2,3,2,2,2,1,1,2,141,2,0,0
4,0,2,3,2,2,2,1,2,3,196,2,0,0
0,0,2,3,2,2,2,1,1,1,168,2,0,0
1,0,2,3,2,2,2,1,1,2,197,2,0,0
0,0,2,3,2,2,2,1,1,1,191,2,0,0
1,0,2,1,2,2,2,1,1,3,198,3,474,37
5,0,2,1,2,2,2,1,1,3,157,2,0,0
5,0,2,1,2,2,2,1,1,3,199,3,6,0
1,0,2,1,2,2,2,1,1,1,146,2,0,0
5,0,2,3,2,2,2,1,1,1,200,2,24,4
5,0,2,3,2,2,2,1,1,1,189,3,195,17
0,0,2,3,2,2,2,1,1,1,168,2,0,0
5,0,2,3,2,2,2,1,2,2,201,2,0,0
4,0,2,1,2,2,2,1,1,1,202,4,2,1
0,0,2,3,2,2,2,1,1,4,187,2,0,0
4,0,2,3,2,2,2,1,1,1,203,2,0,0
5,0,2,3,2,2,2,1,1,2,150,3,21,2
2,0,2,3,2,2,2,1,1,1,204,2,0,0
1,0,2,3,2,2,2,1,1,1,150,2,0,0
5,0,2,3,2,2,2,1,1,2,157,3,5,0
0,0,2,3,2,2,2,1,1,1,178,2,0,0
4,0,2,3,2,2,2,1,1,1,205,2,0,0
6,0,2,5,2,2,2,1,2,4,206,3,10,3
5,0,2,3,2,2,2,1,1,2,207,2,0,0
5,0,2,1,2,2,2,1,1,1,208,3,10,1
5,0,2,1,2,2,2,1,1,2,150,2,15,3
5,0,2,3,2,2,2,1,1,2,209,3,138,23
4,0,2,3,2,2,2,1,2,1,210,2,0,0
5,0,2,3,2,2,2,1,1,2,150,3,16,3
6,0,2,3,2,2,2,1,1,1,157,3,11,4
0,0,2,5,2,2,2,1,1,1,211,2,0,0
0,0,2,1,2,2,2,1,1,2,212,2,0,0
0,0,2,1,2,2,2,1,1,2,173,4,4,0
0,0,2,1,2,2,2,1,1,1,168,2,0,0
1,0,2,5,2,2,2,1,1,2,156,3,22,3
1,0,2,3,2,2,2,1,1,1,213,3,16,2
5,0,2,3,2,2,2,1,1,1,214,2,16,1
0,0,2,1,2,2,2,1,1,1,215,2,0,0
1,0,2,3,2,2,2,1,1,3,155,2,14,6
3,0,2,4,2,2,2,1,1,1,216,2,0,0
5,0,2,3,3,2,2,1,1,1,217,2,6,3
5,0,2,3,2,2,2,1,1,2,218,2,0,0
